id_set;clauses
1;Isaac is reliable whenever Jake is not incompetent. Levi is judgmental.
2;Gianna is quick-tempered provided that Joseph is not nosy. If Joseph is not nosy then Evelyn is diligent.
3;Brooke is not affectionate. Lucas is not patient whenever Riley is unhelpful.
4;Carter is awesome. Zoey is hot-headed.
5;Henry is depressed. Sophie is mild provided that Chloe is not unpleasant.
6;If Luke is devoted then Sean is attentive. Carson is proud whenever Christian is indiscreet.
7;Mason is not stupid. Carson is impetuous or Ian is hateful.
8;Nevaeh is tactless. Anthony is not silly if Nevaeh is tactless.
9;Chase is pretty. Jose is cheerful.
10;If Sydney is careful then Destiny is not diligent. Caden is fussy or Vanessa is absent-minded.
11;Caden is cold whenever Savannah is not inexperienced. Colin is not soulful whenever Elizabeth is not charming.
12;Josiah is not reluctant if Julia is naughty. Mia is intelligent provided that Julia is naughty.
13;Kaitlyn is not snobby. Claire is depressed.
14;Brayden is slow provided that Faith is not competent. Faith is not competent whenever Brayden is slow.
15;David is not tolerant whenever Jack is not warm. Jack is warm.
16;Valeria is not sulky provided that Ethan is charming. James is not tactful.
17;Ava is not beautiful if Jack is ambitious. Samantha is not cynical.
18;Riley is not unfriendly or Maya is not alert. Carlos is mature if Nevaeh is warm.
19;Audrey is not impulsive if Miguel is able. Cooper is not joyous whenever Audrey is not impulsive.
20;Jeremiah is stern. Juan is not dutiful.
21;Gianna is not cheerful whenever Audrey is outspoken. If Audrey is outspoken then Amelia is not fiery.
22;Gabrielle is not cranky. Avery is self-assured.
23;Chase is uncooperative. Aaliyah is not apprehensive.
24;Adrian is not slow. Benjamin is not nasty.
25;Katherine is not reluctant provided that Elijah is not powerful. If Katherine is not reluctant then Zachary is not ridiculous.
26;If Thomas is not gloomy then Kylie is fussy. Thomas is not gloomy.
27;If Mia is not brave then Victor is not funny. Alejandro is not devoted whenever Victor is funny.
28;Caleb is not bright. Addison is affectionate.
29;Parker is mature. Alexandra is not intelligent.
30;Cole is weak whenever Megan is mature. Gabriella is not wonderful or Megan is mature.
31;Isaac is dutiful. If Kaylee is imaginative then Colin is inspiring.
32;If Bailey is stern then Nicholas is not quick. Hayden is not powerful or Sophia is not reclusive.
33;Jennifer is not delightful. Devin is not steady.
34;Liam is ambitious. Mia is not lovable if Ava is not warmhearted.
35;Diego is not impatient whenever Gabriel is agreeable. Caden is not alert.
36;Leah is subtle provided that Taylor is lovable. Abigail is sober.
37;Megan is not artistic. Caden is not supercilious provided that John is not indiscreet.
38;Alexa is not curious. Maria is not impressive if Victoria is picky.
39;Isaac is cool-headed. If Addison is not noisy then Isaac is not cool-headed.
40;Chase is passionate whenever Andrew is cruel. Austin is egotistical if Juan is apathetic.
41;Natalie is not sleepy. Bryce is easy-going.
42;Natalie is not proficient. Natalie is not proficient or James is delicate.
43;Luke is not selfish if Brody is not unreliable. Brody is not unreliable.
44;Amelia is not incompetent. Samuel is demonic.
45;Antonio is not sad. Henry is not naive whenever Antonio is sad.
46;Madison is passive. Kaylee is serious.
47;David is not apathetic whenever Luis is wary. David is not apathetic.
48;Mia is not charming. Christian is not warmhearted.
49;Jocelyn is clean provided that Miguel is fiery. Jocelyn is clean.
50;If Addison is stoic then Layla is not resourceful. Andrew is not lovely.
51;If Carter is not lively then Alexander is impetuous. Peyton is excellent.
52;If Alexis is indiscreet then Oscar is sharp. Alexis is not indiscreet.
53;Colton is not able. Angelina is not cautious.
